Time,Task,n_estimators,max_depth,criterion,Accuracy,F1 Score,Train Size,Features
2026-03-09 22:29:22,disease_Tomato,200,20,gini,0.9240088105726872,0.923327661579353,12712,1864
2026-03-09 22:29:47,disease_Tomato,200,30,gini,0.927496328928047,0.9268399686272402,12712,1864
2026-03-09 22:30:12,disease_Tomato,200,full,gini,0.927496328928047,0.9268399686272402,12712,1864
2026-03-09 22:30:43,disease_Tomato,300,10,gini,0.9087738619676946,0.908729478582852,12712,1864
2026-03-09 22:31:20,disease_Tomato,300,20,gini,0.9262114537444934,0.9254187178707961,12712,1864
2026-03-09 22:31:57,disease_Tomato,300,30,gini,0.9287812041116006,0.9281666111892691,12712,1864
2026-03-09 22:32:35,disease_Tomato,300,full,gini,0.9287812041116006,0.9281666111892691,12712,1864
2026-03-14 21:07:55,plant,50,10,gini,0.6675055241836484,0.6683884427157466,38013,524
2026-03-14 21:07:59,plant,50,20,gini,0.7498158605450528,0.7337586464437056,38013,524
2026-03-14 21:08:04,plant,50,30,gini,0.7504296587282102,0.7334641125135104,38013,524
2026-03-14 21:08:09,plant,50,full,gini,0.752577952369261,0.7364411791039692,38013,524
2026-03-14 21:08:15,plant,100,10,gini,0.6986864718880432,0.7009099113079773,38013,524
2026-03-14 21:08:24,plant,100,20,gini,0.7806285293395532,0.7654219425537687,38013,524
2026-03-14 21:08:33,plant,100,30,gini,0.7780505769702921,0.7608954873382306,38013,524
2026-03-14 21:08:43,plant,100,full,gini,0.7783574760618709,0.7613770879331782,38013,524
2026-03-14 21:08:55,plant,200,10,gini,0.7164252393812914,0.7187546525362332,38013,524
2026-03-14 21:09:13,plant,200,20,gini,0.7904493002700712,0.7739036945748727,38013,524
2026-03-14 21:09:29,plant,200,30,gini,0.788607905720599,0.7707942593322674,38013,524
2026-03-14 21:09:47,plant,200,full,gini,0.788853424993862,0.7712824356362833,38013,524
2026-03-14 21:10:06,plant,300,10,gini,0.7233611588509699,0.7254589519733854,38013,524
2026-03-14 21:10:31,plant,300,20,gini,0.7978148784679597,0.7818563606377144,38013,524
2026-03-14 21:10:56,plant,300,30,gini,0.793763810459121,0.7763173365365751,38013,524
2026-03-14 21:11:21,plant,300,full,gini,0.7939479499140683,0.7764231073957482,38013,524
2026-03-14 21:11:22,disease_Apple,50,10,gini,0.7486855941114616,0.717485914077045,2220,524
2026-03-14 21:11:23,disease_Apple,50,20,gini,0.7402733964248159,0.7104129012656625,2220,524
2026-03-14 21:11:23,disease_Apple,50,30,gini,0.7402733964248159,0.7104129012656625,2220,524
